RA,DEC,COADD_OBJECT_ID,DNF_ZMC_MOF,DNF_ZMC_SOF,DNF_ZMEAN_MOF,DNF_ZMEAN_SOF,DNF_ZSIGMA_MOF,DNF_ZSIGMA_SOF,EXTENDED_CLASS_MASH_SOF,FLAGS_FOOTPRINT,FLAGS_FOREGROUND,FLAGS_GOLD,SOF_CM_MAG_CORRECTED_G,SOF_CM_MAG_CORRECTED_I,SOF_CM_MAG_CORRECTED_R,SOF_CM_MAG_CORRECTED_Z,SOURCE,Z,ERR_Z,GminusR,GminusI,GminusZ,RminusI,RminusZ,IminusZ,C:objID
33.955558,-4.70292,92318096,0.0857889,0.13067999,0.11875454,0.10930166,0.00867175,0.00407826,3,1,0,0,18.04944017,17.13852293,17.44681103,16.9769912,GAMA,0.14324,-9.999,0.60262914,0.91091724,1.07244897,0.3082881,0.46981983,0.16153173,
34.590992,-5.711023,104682794,0.19835,0.19835,0.19835,0.19835,0.001,0.001,3,1,0,0,19.89033894,18.59294762,19.04703208,18.33237578,GAMA,0.19835,-9.999,0.84330686,1.29739132,1.55796316,0.45408446,0.7146563,0.26057184,
34.751076,-5.242773,101829027,0.43549001,0.36899999,0.39064249,0.38772514,0.01588853,0.0180147,3,1,0,0,21.21138186,19.02034425,19.58150871,18.70899867,GAMA,0.37303,-9.999,1.62987315,2.19103761,2.50238319,0.56116446,0.87251004,0.31134558,
33.47749,-5.008678,89264554,0.51359999,0.46047699,0.42310503,0.41717538,0.01821684,0.01397655,3,1,0,0,21.04954115,19.09490969,19.62850227,18.73596577,GAMA,0.44998,-9.999,1.42103888,1.95463146,2.31357538,0.53359258,0.8925365,0.35894392,
33.800482,-5.163491,92342050,0.13787,0.13787,0.13787,0.13787,0.001,0.001,3,1,0,0,20.00289758,19.25779088,19.51781789,19.16621217,GAMA,0.13787,-9.999,0.48507969,0.7451067,0.83668541,0.26002701,0.35160572,0.09157871,
35.222802,-5.570384,112097215,0.25922,0.25922,0.25922,0.25922,0.001,0.001,3,1,0,0,20.51303663,19.27874886,19.64743492,19.08067284,GAMA,0.25922,-9.999,0.86560171,1.23428777,1.43236379,0.36868606,0.56676208,0.19807602,
33.729511,-4.610938,93888615,0.19639,0.19639,0.19639,0.19639,0.001,0.001,3,1,0,0,20.65433779,19.09566491,19.52380426,18.81980817,GAMA,0.19639,-9.999,1.13053353,1.55867288,1.83452962,0.42813935,0.70399609,0.27585674,
34.270122,-4.351658,101122981,0.2133,0.2133,0.21909626,0.21701016,0.0211555,0.02063329,3,1,0,0,20.0585106,19.06737574,19.36624803,18.92154848,GAMA,0.27701,-9.999,0.69226257,0.99113486,1.13696212,0.29887229,0.44469955,0.14582726,
35.4864,-5.230385,110498819,0.15989199,0.15989199,0.14133918,0.13866733,0.01584511,0.0114311,3,1,0,0,19.07786189,18.0951159,18.41700132,17.90841182,GAMA,0.14079,-9.999,0.66086057,0.98274599,1.16945007,0.32188542,0.5085895,0.18670408,
33.653634,-4.49382,93882190,0.32001001,0.32001001,0.31219044,0.3152256,0.03895016,0.02944932,3,1,0,0,20.57225694,19.23165571,19.60302194,18.93162765,GAMA,0.13747,-9.999,0.969235,1.34060123,1.64062929,0.37136623,0.67139429,0.30002806,
34.119084,-4.085507,93861181,0.23406599,0.23406599,0.26349941,0.26563489,0.01520417,0.01471446,3,1,0,0,19.51787268,18.22987799,18.64273926,18.03245408,GAMA,0.24531,-9.999,0.87513342,1.28799469,1.4854186,0.41286127,0.61028518,0.19742391,
33.981842,-5.519973,151936149,0.24473999,0.22886001,0.26000404,0.25931492,0.01038427,0.00877369,3,1,0,0,20.27113448,18.41861208,18.87442624,18.12056,GAMA,0.2539,-9.999,1.39670824,1.8525224,2.15057448,0.45581416,0.75386624,0.29805208,
33.871108,-4.679495,92316986,0.30135,0.323782,0.38782057,-0.0192154,0.06329853,0.00096458,3,1,0,0,18.89789409,17.79138518,18.10274946,17.44741018,GAMA,0.34429,-9.999,0.79514463,1.10650891,1.45048391,0.31136428,0.65533928,0.343975,
34.320409,-5.160994,101825020,0.43928999,0.43928999,0.43928999,0.43928999,0.001,0.001,3,1,0,0,20.13108459,19.0370204,19.26967398,18.74058704,GAMA,0.43929,-9.999,0.86141061,1.09406419,1.39049755,0.23265358,0.52908694,0.29643336,
35.592643,-5.432657,112090908,0.29381999,0.29381999,0.29381999,0.29381999,0.001,0.001,3,1,0,0,20.19982118,18.88757464,19.26066406,18.65577877,GAMA,0.29382,-9.999,0.93915712,1.31224654,1.54404241,0.37308942,0.60488529,0.23179587,
33.540671,-5.004553,89264124,0.45126,0.45126,0.45126,0.45126,0.001,0.001,3,1,0,0,20.86054362,18.3709985,19.02976322,18.02603951,GAMA,0.45126,-9.999,1.8307804,2.48954512,2.83450411,0.65876472,1.00372371,0.34495899,
34.218388,-4.343381,101122584,0.25268999,0.25268999,0.25268999,0.25268999,0.001,0.001,3,1,0,0,20.95923204,19.09864981,19.59177008,18.81758288,GAMA,0.25269,-9.999,1.36746196,1.86058223,2.14164916,0.49312027,0.7741872,0.28106693,
33.903196,-4.55636,93885540,0.13091999,0.13091999,0.13791169,0.1356338,0.03127737,0.01499375,3,1,0,0,19.87493152,19.18275089,19.43179921,19.08045124,GAMA,0.13349,-9.999,0.44313231,0.69218063,0.79448028,0.24904832,0.35134797,0.10229965,
35.14265,-5.654546,104679990,0.29504001,0.29504001,0.2531167,0.25123903,0.01489331,0.01522189,3,1,0,0,20.45337732,19.36488445,19.69076942,19.18772454,GAMA,0.19754,-9.999,0.7626079,1.08849287,1.26565278,0.32588497,0.50304488,0.17715991,
33.933308,-5.485387,151934564,0.295149,0.279136,0.30418274,0.30173221,0.00759755,0.00689323,3,1,0,0,20.15415541,18.04494358,18.60781668,17.68887956,GAMA,0.28788,-9.999,1.54633873,2.10921183,2.46527585,0.5628731,0.91893712,0.35606402,
34.601187,-5.394864,104666336,0.469125,0.50563401,0.41717657,0.4185982,0.02283024,0.02096746,3,1,0,0,21.36859624,19.05537697,19.64196863,18.74218933,GAMA,0.37922,-9.999,1.72662761,2.31321927,2.62640691,0.58659166,0.8997793,0.31318764,
